,phi,pi,label
0,0.024031993,-0.0078076115,0.0
1,1.0288035,0.014596855,0.0
2,0.09398195,-0.029562285,0.0
3,0.022758318,-0.0073294435,0.0
4,1.206583,0.12650856,0.0
5,1.012072,0.0059793894,0.0
6,0.5127667,-0.110486895,0.0
7,0.23564981,-0.06935662,0.0
8,0.7504875,-0.08892461,0.0
9,0.3923733,-0.099792205,0.0
10,0.21903187,-0.065197825,0.0
11,0.9780325,-0.010770497,0.0
12,0.72652054,-0.09375151,0.0
13,0.18570656,-0.055796873,0.0
14,0.18348749,-0.05515689,0.0
15,1.085291,0.046302266,0.0
16,0.5899215,-0.10963511,0.0
17,0.11767237,-0.036692236,0.0
18,1.1055584,0.05854255,0.0
19,0.700289,-0.098289624,0.0
20,0.7028665,-0.0979504,0.0
21,0.36583954,-0.09590846,0.0
22,0.8238837,-0.070165955,0.0
23,0.23913096,-0.07008128,0.0
24,0.588961,-0.109910645,0.0
25,1.159072,0.0931595,0.0
26,0.8105729,-0.07390968,0.0
27,1.2161717,0.13356934,0.0
28,0.6026757,-0.10941805,0.0
29,0.10452901,-0.03298099,0.0
30,0.76737964,-0.085007615,0.0
31,0.37661403,-0.09766665,0.0
32,0.6917547,-0.099923745,0.0
33,1.1901741,0.114782706,0.0
34,0.4699727,-0.10839449,0.0
35,0.4631518,-0.107461356,0.0
36,0.4929127,-0.1095177,0.0
37,1.1621765,0.09527338,0.0
38,0.14301798,-0.044058282,0.0
39,0.1419931,-0.043588717,0.0
40,0.10333083,-0.032415807,0.0
41,0.29415125,-0.08281288,0.0
42,0.55746025,-0.11101764,0.0
43,0.59496194,-0.10952292,0.0
44,0.67296636,-0.10266028,0.0
45,0.11483207,-0.035660293,0.0
46,0.91883993,-0.03650385,0.0
47,0.66410923,-0.103583425,0.0
48,0.058092773,-0.018481575,0.0
49,0.57455605,-0.11018887,0.0
50,0.8589507,-0.058802005,0.0
51,0.6315721,-0.10712016,0.0
52,0.98462296,-0.007297956,0.0
53,0.13196206,-0.040725525,0.0
54,0.5156919,-0.11028987,0.0
55,1.2549974,0.16317528,0.0
56,0.115402706,-0.03566449,0.0
57,1.2147362,0.13261777,0.0
58,0.91338575,-0.038785726,0.0
59,0.21367005,-0.06344068,0.0
60,0.53939176,-0.110838056,0.0
61,0.29301938,-0.08263553,0.0
62,0.87956804,-0.051395692,0.0
63,0.07539046,-0.023723252,0.0
64,0.6488934,-0.10557856,0.0
65,0.10341447,-0.032002993,0.0
66,0.7704232,-0.08442983,0.0
67,0.7248717,-0.09425426,0.0
68,1.2927644,0.1933985,0.0
69,0.59998184,-0.10932716,0.0
70,0.40006438,-0.101016715,0.0
71,1.1160932,0.06508351,0.0
72,0.75197536,-0.08873159,0.0
73,0.031225516,-0.009834428,0.0
74,0.24583568,-0.071394004,0.0
75,0.6940432,-0.099279694,0.0
76,0.21975324,-0.065319166,0.0
77,0.26070794,-0.07526856,0.0
78,0.19770719,-0.059357688,0.0
79,0.21641885,-0.06458253,0.0
80,1.0180562,0.009106065,0.0
81,0.7613205,-0.086497396,0.0
82,1.212073,0.13059546,0.0
83,0.7165026,-0.09555179,0.0
84,0.47500756,-0.10840561,0.0
85,0.67141813,-0.10239737,0.0
86,0.36989272,-0.09682915,0.0
87,0.3046864,-0.08492125,0.0
88,0.717996,-0.09537239,0.0
89,0.5389948,-0.111131266,0.0
90,0.494344,-0.109874874,0.0
91,0.055647936,-0.017781833,0.0
92,0.4979731,-0.10967437,0.0
93,1.0625889,0.033265866,0.0
94,1.2084376,0.12777771,0.0
95,0.39309302,-0.10032886,0.0
96,1.1726195,0.10238999,0.0
97,1.2779299,0.18137178,0.0
98,0.17693752,-0.053790085,0.0
99,0.30646873,-0.08527577,0.0
100,0.5503461,-0.11084747,0.0
101,0.04780303,-0.014737502,0.0
102,0.5832308,-0.11001797,0.0
103,0.072685204,-0.022548063,0.0
104,0.5207676,-0.11033738,0.0
