,phi,pi,label
0,0.058682624,-0.021266356,-0.07520143
1,0.6261714,-0.110020764,0.026953112
2,0.70784676,-0.10361117,-0.0935393
3,0.15160926,-0.044254646,0.06512401
4,1.1221131,0.07212437,-0.092684545
5,0.80597633,-0.080338806,-0.059854865
6,0.69727695,-0.103641585,-0.036152817
7,0.13745075,-0.041618325,0.023940409
8,0.8061296,-0.075969644,0.094017506
9,1.1848998,0.121035844,0.033982888
10,0.47028026,-0.107704766,0.0786105
11,0.41711232,-0.10616915,-0.040605366
12,0.3101713,-0.08832678,-0.045108717
13,0.3496003,-0.09683824,-0.07037506
14,1.1068361,0.06360733,-0.014522888
15,1.0491241,0.025464434,-0.08419642
16,0.33861572,-0.09328735,-0.026089195
17,0.5262594,-0.11260879,0.021337088
18,0.53928375,-0.11422308,-0.020747172
19,0.066210665,-0.023502797,-0.07220147
20,0.36549383,-0.09645735,0.020767203
21,0.3672029,-0.098370664,-0.026524123
22,0.081017196,-0.027887376,-0.06664508
23,1.2352318,0.16183612,0.041981682
24,0.32125705,-0.08849424,0.014723792
25,0.6987766,-0.10139183,0.031665474
26,0.13437106,-0.03909843,0.06802894
27,0.8562223,-0.0636746,-0.031573687
28,0.37802777,-0.09769343,0.044526905
29,0.8038286,-0.080114305,-0.030141369
30,0.9694521,-0.013380188,0.08400347
31,0.26236403,-0.07952157,-0.09699281
32,0.79061645,-0.08104441,0.065049626
33,0.6204536,-0.10835794,0.09440818
34,0.64710957,-0.10799116,0.03296033
35,0.80451113,-0.07998857,-0.03253938
36,0.41100118,-0.10190132,0.062256522
37,0.8659195,-0.061994515,-0.09557747
38,1.2691072,0.1913232,0.05176361
39,0.3856485,-0.10248739,-0.060997486
40,0.45166782,-0.10830488,0.010701021
41,1.2060777,0.1352199,-0.0749874
42,0.7330735,-0.09685166,-0.021359023
43,0.65279293,-0.106037855,0.07799521
44,1.0535939,0.032605503,0.09683838
45,0.123595014,-0.041230813,-0.07782506
46,0.09697851,-0.028624935,0.04672671
47,0.87240684,-0.05842242,-0.050836816
48,0.9909773,-0.006231302,-0.059324894
49,0.21929307,-0.066828154,-0.041985314
50,0.079083376,-0.02343725,0.038131747
51,1.0696254,0.03880188,-0.04801874
52,0.5942774,-0.1099092,0.091280065
53,0.66714597,-0.10556251,0.039933372
